fish_id,labID,Year,Station
BK201780,KS210,2020,44
BK202089,KS211,2020,DN
BK201586,KS212,2020,41
BK185502,KS213,2018,DN
BK201358,KS214,2020,27
BK185308,KS215,2018,135
BK185249,KS216,2018,128
BK201570,KS217,2020,41
BK201373,KS218,2020,27
BK185495,KS219,2018,DN
BK202260,KS220,2020,128
BK201251,KS221,2020,27
BK201397,KS222,2020,27
BK201558,KS223,2020,41
BK201774,KS224,2020,44
BK202001,KS225,2020,DN
BK202060,KS226,2020,DN
BK186075,KS227,2018,124
BK202073,KS228,2020,DN
BK186086,KS229,2018,124
BK185912,KS230,2018,HS2
BK202231,KS231,2020,128
BK200418,KS232,2020,HS2
BK185897,KS233,2018,HS2
BK201583,KS234,2020,41
BK185921,KS235,2018,HS2
BK186121,KS236,2018,124
BK201365,KS237,2020,27
BK201354,KS238,2020,27
BK201103,KS239,2020,23
BK202361,KS240,2020,128
BK186123,KS241,2018,124
BK202066,KS242,2020,DN
BK201912,KS243,2020,135
BK201362,KS244,2020,27
BK202206,KS245,2020,128
BK202086,KS246,2020,DN
BK201777,KS247,2020,44
BK201102,KS248,2020,23
BK202102,KS249,2020,DN
BK186134,KS250,2018,124
BK202366,KS251,2020,128
BK200410,KS252,2020,HS2
BK201770,KS253,2020,44
BK185337,KS254,2018,135
BK185902,KS255,2018,HS2
BK185887,KS256,2018,HS2
BK185892,KS257,2018,HS2
BK201908,KS258,2020,135
BK185885,KS259,2018,HS2
BK201351,KS260,2020,27
BK186120,KS261,2018,124
BK202219,KS262,2020,128
BK202433,KS264,2020,124
BK201572,KS265,2020,41
BK201519,KS266,2020,41
BK202555,KS267,2020,124
BK186146,KS268,2018,124
BK201564,KS269,2020,41
BK185387,KS270,2018,135
BK201151,KS271,2020,23
BK201109,KS272,2020,23
BK101198,KS273,2010,DN
BK16265,KS274,2016,135
BK16075,KS276,2016,HS2
BK16274,KS277,2016,128
BK16269,KS278,2016,124
BK140104,KS279,2014,128
BK140217,KS280,2014,135
BK141370,KS282,2014,HS2
BK140165,KS283,2014,128
BK16256,KS284,2016,124
BK16039,KS285,2016,HS2
BK100914,KS286,2010,DN
BK16073,KS287,2016,HS2
BK140002,KS288,2014,44
BK16293,KS289,2016,DN
BK140989,KS290,2014,HS2
BK140147,KS291,2014,128
BK140058,KS292,2014,128
BK140092,KS293,2014,128
BK16253,KS294,2016,27
BK140042,KS295,2014,128
BK16251,KS296,2016,HS2
BK16292,KS297,2016,DN
BK140185,KS298,2014,128
BK16252,KS299,2016,44
BK140057,KS301,2014,128
BK141024,KS302,2014,HS2
BK16070,KS303,2016,HS2
BK16267,KS304,2016,135
BK100933,KS305,2010,DN
BK16057,KS306,2016,HS2
BK140103,KS307,2014,128
BK140009,KS308,2014,27
BK16270,KS309,2016,124
BK140129,KS310,2014,128
BK16268,KS311,2016,135
BK140020,KS312,2014,41
BK140345,KS313,2014,DN
BK16282,KS314,2016,DN
BK140938,KS315,2014,HS2
BK140021,KS316,2014,124
BK16254,KS317,2016,23
BK140633,KS318,2014,DN
BK141367,KS319,2014,HS2
BK16255,KS320,2016,41
BK16291,KS321,2016,DN
BK16271,KS322,2016,124
BK141368,KS323,2014,HS2
BK16285,KS324,2016,DN
BK16273,KS325,2016,128
BK16053,KS326,2016,HS2
BK16281,KS327,2016,128
BK16020,KS328,2016,HS2
BK16279,KS329,2016,128
BK141305,KS330,2014,HS2
BK141298,KS331,2014,HS2
BK16278,KS332,2016,128
BK140958,KS333,2014,HS2
BK16193,KS335,2016,HS2
BK16290,KS336,2016,DN
BK140012,KS337,2014,27
BK16055,KS338,2016,HS2
BK16266,KS339,2016,135
BK140007,KS340,2014,27
BK16257,KS341,2016,128
BK16287,KS342,2016,DN
BK140886,KS343,2014,HS2
BK140006,KS344,2014,27
BK140130,KS345,2014,128
BK16277,KS346,2016,128
BK16191,KS347,2016,HS2
BK16261,KS348,2016,DN
BK16262,KS349,2016,DN
BK16125,KS350,2016,HS2
BK140747,KS353,2014,DN
BK140501,KS354,2014,DN
BK16264,KS355,2016,DN
BK141182,KS356,2014,HS2
BK185936,KS357,2018,HS2
BK140218,KS358,2014,135
BK140693,KS359,2014,DN
BK140722,KS360,2014,DN
BK180167U21,KS361,2018,27
BK140476,KS362,2014,DN
BK180252U21,KS363,2018,23
BK180111U21,KS364,2018,44
BK140015,KS365,2014,23
BK140339,KS366,2014,DN
BK180355U21,KS367,2018,41
BK180251U21,KS368,2018,23
BK180165U21,KS369,2018,27
BK180208U21,KS370,2018,27
BK140138,KS371,2014,128
BK180053U21,KS372,2018,44
BK180114U21,KS373,2018,44
BK180164U21,KS374,2018,27
BK140713,KS375,2014,DN
BK140712,KS376,2014,DN
BK180106U21,KS377,2018,44
BK180207U21,KS378,2018,27
BK180206U21,KS379,2018,27
BK180166U21,KS380,2018,27
BK180354U21,KS381,2018,41
BK180301U21,KS382,2018,41
BK180109U21,KS383,2018,44
BK180112U21,KS384,2018,44
BK185295,KS385,2018,135
BK185855,KS386,2018,HS2
BK180107U21,KS387,2018,44
BK200953,KS388,2020,GS
BK180051U21,KS389,2018,44
BK180113U21,KS390,2018,44
BK180352U21,KS391,2018,41
BK180001U21,KS392,2018,23
BK185866,KS393,2018,HS2
BK180108U21,KS394,2018,44
BK180052U21,KS395,2018,44
BK185728,KS396,2018,DN
BK180110U21,KS397,2018,44
BK180159U21,KS398,2018,27
BK180209U21,KS399,2018,27
BK180158U21,KS400,2018,27
BK140322,KS401,2014,DN
BK185850,KS402,2018,HS2
BK140641,KS403,2014,DN
BK185247,KS404,2018,128
BK185277,KS405,2018,135
BK185253,KS406,2018,128
BK185579,KS407,2018,DN
BK201881,KS408,2020,135
BK185606,KS409,2018,DN
BK185388,KS410,2018,135
BK140219,KS411,2014,135
BK185261,KS412,2018,128
BK185275,KS413,2018,135
BK185420,KS414,2018,135
BK185877,KS415,2018,HS2
BK185152,KS416,2018,128
BK185088,KS417,2018,128
BK185358,KS418,2018,135
BK140325,KS419,2014,DN
BK185364,KS420,2018,135
BK200451,KS421,2020,HS2
BK141291,KS422,2014,HS2
BK16280,KS423,2016,128
BK185415,KS424,2018,135
BK185523,KS425,2018,DN
BK185087,KS426,2018,128
BK140005,KS427,2014,27
BK185737,KS428,2018,DN
BK185541,KS429,2018,DN
BK185222,KS430,2018,128
BK185239,KS431,2018,128
BK185617,KS432,2018,DN
BK201584,KS433,2020,41
BK201369,KS434,2020,27
BK201255,KS435,2020,27
BK185224,KS436,2018,128
BK202106,KS437,2020,DN
BK202539,KS438,2020,124
BK201945,KS439,2020,135
BK202413,KS440,2020,124
BK185834,KS441,2018,DN
BK201601,KS442,2020,44
BK202520,KS443,2020,124
BK202360,KS444,2020,128
BK202511,KS445,2020,124
BK200416,KS446,2020,HS2
BK201767,KS447,2020,44
BK202353,KS448,2020,128
BK201557,KS449,2020,41
BK202514,KS450,2020,124
BK186065,KS451,2018,124
BK201769,KS452,2020,44
BK202003,KS453,2020,DN
BK201002,KS454,2020,23
BK202082,KS455,2020,DN
BK202440,KS456,2020,124
BK202052,KS457,2020,DN
BK201766,KS458,2020,44
BK202367,KS459,2020,128
BK201805,KS460,2020,135
BK185189,KS461,2018,128
BK201876,KS462,2020,135
BK201370,KS463,2020,27
BK202444,KS464,2020,124
BK185738,KS465,2018,DN
BK200408,KS466,2020,HS2
BK201001,KS467,2020,23
BK201003,KS468,2020,23
BK201580,KS469,2020,41
BK201760,KS470,2020,44
