fish_id,year,station,length,sex,gut_length,SP1,SP2,PS,plates,grn,grg,grl2,grl3
BK100002,2010,44,53,NA,NA,2.443,2.566,5.403,3,13,0.217,1.140667,1.304333
BK100003,2010,44,59,NA,NA,4.038,3.946,6.94,5,14,0.2276667,1.516667,1.508
BK100004,2010,41,56,m,22,3.848,3.567,6.03,4,15,0.159,1.087333,1.270333
BK100006,2010,44,56,NA,NA,3.501,3.963,5.293,7,9,0.1803333,1.446,1.467
BK100007,2010,44,46,NA,NA,2.34,2.639,4.858,5,15,0.1576667,1.08,1.089
BK100010,2010,44,39,NA,NA,3.036,3.025,4.528,4,15,0.172,0.802,0.8383333
BK100011,2010,44,64,NA,NA,3.851,3.843,6.137,7,13,0.2586667,1.643333,1.685
BK100012,2010,44,65,NA,NA,4.226,4.792,7.454,6,13,0.285,1.167,1.319333
BK100015,2010,44,44,NA,NA,2.998,3.107,5.699,5,15,0.151,0.8443333,0.8176667
BK100016,2010,44,40,NA,NA,2.666,2.49,4.327,5,14,0.185,0.8566667,0.9073333
BK100018,2010,44,38,NA,NA,2.564,2.743,4.058,5,12,0.174,0.7163333,0.823
BK100020,2010,44,60,NA,NA,3.932,4.034,6.675,5,14,0.272,1.336,1.375
BK100021,2010,44,54,NA,NA,3.188,3.278,5.401,6,14,0.244,1.567333,1.456333
BK100026,2010,44,52,NA,NA,3.049,3.364,5.198,4,13,0.216,1.148333,1.195667
BK100027,2010,44,52,NA,NA,2.818,3.101,5.113,4,13,0.182,1.208333,1.151333
BK100029,2010,44,59,NA,NA,3.071,3.512,6.673,5,14,0.235,1.149667,1.271333
BK100031,2010,44,50,NA,NA,2.99,3.648,5.406,5,14,0.2323333,0.988,0.986
BK100032,2010,44,61,NA,NA,3.252,3.515,6.004,5,13,0.348,1.368,1.327
BK100034,2010,44,40,NA,NA,2.334,2.488,4.299,5,13,0.2113333,1.131667,0.973
BK100036,2010,44,58,NA,NA,3.443,3.999,6.387,4,13,0.2476667,1.466333,1.583333
